date,air_humidity_UniOS,air_pressure_UniOS,global_solar_radiation_UniOS,temperature_UniOS,wind_speed_avg_UniOS,wind_speed_max_UniOS,wind_direction_category_UniOS
2009-06-12,59.702524271844666,1008.5442233009705,442.8411650485436,13.766456310679612,15.260097087378641,56.14,W
2009-06-13,60.05284722222219,1011.0740972222263,394.1243402777774,14.09579861111112,8.132534722222218,27.31,W
2009-06-14,73.88402777777777,1007.8931944444461,175.02329861111093,15.738263888888898,8.748437499999998,39.67,SW
2009-06-15,78.72722222222221,1005.8821180555567,140.51486111111114,15.605729166666663,7.1434375,31.21,W
2009-06-16,75.71881944444439,1009.6529513888913,188.28763888888886,13.548402777777767,6.729270833333335,32.66,W
2009-06-17,62.7143055555556,1012.0209722222241,379.23576388888847,16.333715277777774,7.8565625,33.44,SE
2009-06-18,63.33934256055368,1005.3455017301017,276.41131487889254,18.106955017301047,11.955847750865042,38.03,W
2009-06-19,61.41673611111113,1005.892986111115,295.86468750000023,15.398993055555552,13.840625000000006,53.88,W
2009-06-20,74.23086805555556,1009.1989930555558,220.04187500000018,12.631145833333328,10.89666666666667,42.12,SW
2009-06-21,74.51649305555556,1010.3886458333369,233.6484374999999,12.850798611111113,8.605138888888886,35.13,W
2009-06-22,68.27843750000002,1015.0750347222212,260.3642708333334,14.314062500000002,6.935416666666665,24.94,W
2009-06-23,67.39048611111113,1016.4780208333336,362.83090277777745,17.241041666666675,11.287951388888892,47.25,N
2009-06-24,59.007326388888906,1011.1516666666674,418.41541666666643,18.896840277777788,13.925868055555547,50.82,NE
2009-06-25,65.04461805555553,1004.6361458333342,348.7510069444443,19.016249999999996,14.109826388888882,53.88,NE
2009-06-26,76.89069444444442,1002.4423263888885,231.54128472222212,19.85201388888889,12.175659722222218,44.17,E
2009-06-27,77.35579861111108,1004.8906249999982,212.42600694444437,19.801250000000003,12.31760416666668,45.66,E
2009-06-28,73.73722222222221,1006.036111111107,227.44569444444446,20.088888888888867,8.559236111111106,30.53,E
2009-06-29,71.17243697478992,1007.5898739495816,233.2139075630251,21.90588235294117,6.630168067226885,28.68,SE
2009-06-30,62.92381720430109,1010.2402688172047,331.75532258064516,23.74860215053763,7.024247311827963,23.92,NA
2009-07-01,69.54530054644808,1011.5613661202198,336.9537158469946,33.83409836065571,7.793387978142078,33.04,NA
2009-07-02,62.89316872427978,1008.738930041152,374.1220164609054,24.91674897119342,10.056666666666665,32.28,NE
2009-07-03,66.11357638888896,1003.2497916666676,288.4104166666669,24.54996527777774,8.06048611111111,46.44,E
2009-07-04,67.77166666666669,1002.5085069444453,293.67527777777786,21.221215277777773,10.646874999999996,31.56,W
2009-07-05,53.557986111111184,1000.9211111111114,384.19336805555554,22.31649305555557,5.233263888888891,27.84,W
2009-07-06,72.4740277777777,997.6110416666694,287.8928819444443,19.147604166666675,11.413055555555552,51.8,SW
2009-07-07,67.92684027777784,994.7171875000024,334.5800347222221,17.19538194444445,16.838819444444447,56.14,SW
2009-07-08,82.58421686746985,995.2082329317274,174.35526104417656,14.826546184738959,14.549959839357433,50.82,W
2009-07-09,80.43732638888885,1000.7935763888911,202.04343750000012,13.258090277777788,14.021388888888891,44.17,SW
2009-07-10,86.3643055555556,999.6298958333355,98.79989583333327,12.1645486111111,17.378263888888874,64.29,SW
2009-07-11,82.07788194444451,1003.182986111111,160.57937499999997,13.451597222222219,10.687881944444449,35.13,SW
2009-07-12,87.3407986111111,1000.0614236111128,117.56059027777762,15.90854166666666,7.956736111111113,29.57,SW
2009-07-13,67.95017361111118,1001.3712499999963,330.46413194444426,18.525868055555538,10.542708333333337,39.11,SW
2009-07-14,65.57190972222223,1000.6977083333378,301.0943402777777,20.945138888888916,8.571736111111115,54.99,SW
2009-07-15,64.79767361111116,1005.4479166666691,329.6265972222224,21.716145833333336,12.06611111111111,47.25,SW
2009-07-16,55.80138888888888,1010.4993402777768,327.69802083333315,21.63277777777779,7.413229166666671,32.28,W
2009-07-17,63.11857638888893,999.5806944444469,196.0542708333333,20.359513888888884,10.591493055555544,39.67,SW
2009-07-18,71.18940972222224,997.7511458333322,154.7809027777778,16.40718750000002,15.883333333333322,52.82,SW
2009-07-19,78.51107638888885,1001.7536805555566,161.32947916666657,15.133090277777775,10.77121527777779,44.9,SW
2009-07-20,73.42892361111109,1003.8795486111123,243.81482638888895,16.00743055555556,14.973923611111111,49.87,SW
2009-07-21,65.94934027777781,1002.2264236111126,313.8234027777777,20.086944444444438,8.309027777777771,43.46,SW
2009-07-22,75.89484320557492,995.5018815331028,185.75958188153317,21.269094076655062,11.835749128919867,45.66,SW
2009-07-23,85.07586805555566,993.6294097222243,116.69885416666676,18.12597222222222,8.370138888888892,27.84,SW
2009-07-24,81.74003472222223,1001.0867361111128,243.7155555555557,16.055416666666677,11.43430555555556,43.46,SW
2009-07-25,77.26663194444444,1007.6085763888908,266.9873958333334,16.034305555555562,14.163854166666665,48.97,SW
2009-07-26,65.25385416666668,1010.3812152777786,278.3044097222223,17.900624999999998,10.24145833333334,37.01,SW
2009-07-27,60.999618055555544,1001.9366319444487,306.50215277777795,21.0054861111111,11.79944444444444,48.09,SW
2009-07-28,70.60440972222227,1008.9552083333385,239.2120138888889,17.022743055555555,12.105173611111114,35.58,SW
2009-07-29,75.07276315789471,1009.8193421052624,1.6410526315789469,13.648026315789467,6.5192105263157885,15.84,E
2009-07-30,65.60153846153844,1008.2581318681316,396.00401098901096,17.561208791208784,19.0128021978022,58.61,SW
